date,rent,home_price,year,median_household_income,HPI,rent_burden,rent_yoy,price_yoy,HPI_yoy
2023-05-31,3156.6486356290384,1326960.0004106164,2023,154954.0,8.563573708394856,0.24445824972281102,0.026266397886367754,-0.11970206215584578,-0.14307949038763512
2023-06-30,3169.0253544964994,1335819.6659095285,2023,154954.0,8.62074980903706,0.2454167317652851,0.014603442484280249,-0.11362655894746543,-0.13716532987258634
2023-07-31,3184.8329741663906,1354283.562521998,2023,154954.0,8.739907085470515,0.24664091078640554,0.007824377764279467,-0.0908851108456703,-0.11502780976838323
2023-08-31,3187.5097780002325,1378535.5075923149,2023,154954.0,8.896417695524574,0.24684820873293228,0.0020864786592527107,-0.05508415434071279,-0.08017759307019368
2023-09-30,3177.084136186252,1405004.405639786,2023,154954.0,9.06723547401026,0.2460408226585634,-0.00040718606497591736,-0.017187285069495184,-0.04328712322752304
2023-10-31,3149.435283517677,1428347.3573507406,2023,154954.0,9.217879869837116,0.2438996308724662,-0.0006334998821687643,0.020064367050026455,-0.007024735976748575
2023-11-30,3115.949220301343,1446800.0745897875,2023,154954.0,9.336964999869558,0.24130639185575145,-0.00031320199996942577,0.04293267867079287,0.015236278624777055
2023-12-31,3103.3089375651907,1458801.6003800435,2023,154954.0,9.414417184325952,0.24032749881114582,0.004448781805390434,0.054862321673960324,0.02684911482748764
2024-01-31,3118.69396777752,1459025.2750456464,2024,168154.0,8.676720595678047,0.22255984165306947,0.010229641710354453,0.062304228691786756,-0.02108609100760539
2024-02-29,3149.609253574966,1454787.8405595906,2024,168154.0,8.651520871103813,0.22476605399157668,0.016991232139688117,0.07222285927068661,-0.011946067679448724
2024-03-31,3180.6053804026483,1455621.9521644386,2024,168154.0,8.656481274096594,0.2269780354010715,0.019346370405175506,0.08843410564015497,0.002992604430251955
2024-04-30,3202.688565486207,1467514.4650418705,2024,168154.0,8.727205210948716,0.22855396116556542,0.02214606170634137,0.10594825636400129,0.0191319035921087
2024-05-31,3235.6148757938013,1484871.5636789266,2024,168154.0,8.83042665460784,0.23090368655830737,0.02501584727342543,0.11900250438554716,0.03116140005327317
2024-06-30,3262.827298786481,1499545.690570159,2024,168154.0,8.917692654175095,0.23284565092378282,0.029599619377259634,0.12256596368429196,0.03444512968312252
2024-07-31,3289.755205895761,1513698.5649597996,2024,168154.0,9.001858801811432,0.23476731133811346,0.03294434357482534,0.11771168671716947,0.029971910888663134
2024-08-31,3295.6926936629493,1526198.6750555455,2024,168154.0,9.076196076546175,0.23519102919915905,0.03393963413363643,0.10711596955607772,0.0202079519166507
2024-09-30,3291.795626257779,1537835.0360053498,2024,168154.0,9.145396695917729,0.23491292217308746,0.03610590250506429,0.09454107747447082,0.00862018220785199
2024-10-31,3276.659951726518,1547837.0850388764,2024,168154.0,9.204878177378333,0.23383279268241144,0.0403960255588236,0.08365593080226796,-0.0014104862118378136
2024-11-30,3257.562650678,1559890.4477931894,2024,168154.0,9.276558677124477,0.23246994902372828,0.045447926254382764,0.0781658607775968,-0.006469588645338642
2024-12-31,3241.245642160435,1572311.0303318508,2024,168154.0,9.350423007075959,0.23130551581244113,0.04444826711434913,0.07781005307523392,-0.006797465631386834
2025-01-31,3245.2557243647066,1576510.1751399906,2025,,,,0.04058165305567907,0.08052286831745858,
2025-02-28,3265.487274391271,1572298.794371429,2025,,,,0.03679123709862675,0.08077532031518575,
2025-03-31,3297.326816134432,1560681.1311529754,2025,,,,0.036697867786731786,0.07217476957689395,
2025-04-30,3324.7789685053845,1548911.3394040226,2025,,,,0.038121222380123054,0.055465807187004224,
2025-05-31,3349.694186974114,1532505.6689032696,2025,,,,0.035257382463457,0.03207961307193763,
2025-06-30,3375.3317674975033,1515530.4207158925,2025,,,,0.03448066918922277,0.010659715303276807,
2025-07-31,3395.778472653738,1504037.2608753752,2025,,,,0.03222831491168909,-0.006382581253673192,
2025-08-31,3413.660780969267,1500368.6522972316,2025,,,,0.0357946259774613,-0.016924416971711653,
2025-09-30,3412.484614785553,1505464.8357594842,2025,,,,0.03666357278230459,-0.021049201954684182,
2025-10-31,3403.2840317943987,1515774.197581785,2025,,,,0.03864425418974604,-0.02071463965232878,
2025-11-30,3395.052700552597,1530368.8922998095,2025,,,,0.04220641768654265,-0.018925403085290227,
2025-12-31,3399.212798665451,1543938.4765838727,2025,,,,0.048736558084417014,-0.018045127968090213,
